120 	
8	80
0	182	16226	16226	8	
1	53	1723	1723	8	
0	185	19994	19994	5	
0	170	21024	21024	1	
1	36	4581	4581	7	
0	185	19621	19621	8	
1	100	8748	8748	2	
1	169	4995	4995	9	
1	187	6391	6391	6	
1	90	5149	5149	7	
1	94	5729	5729	4	
0	157	18588	18588	1	
0	195	21306	21306	7	
1	159	16683	16683	2	
1	98	7316	7316	9	
0	125	15854	15854	3	
1	139	11423	11423	5	
1	175	4607	4607	7	
0	53	8394	8394	2	
1	28	3794	3794	5	
0	169	26823	26823	4	
0	195	11677	11677	6	
1	110	9595	9595	8	
1	70	6033	6033	1	
1	33	245	245	2	
0	18	1992	1992	4	
1	151	371	371	10	
0	122	5130	5130	8	
1	36	3163	3163	4	
0	131	766	766	3	
0	191	29944	29944	9	
0	134	8823	8823	6	
1	17	1828	1828	2	
1	158	20926	20926	3	
1	195	12733	12733	2	
0	168	13245	13245	9	
1	96	2877	2877	9	
0	159	6815	6815	2	
0	61	1292	1292	10	
0	106	13002	13002	2	
1	23	1120	1120	6	
0	41	5726	5726	3	
0	164	6276	6276	9	
1	18	2578	2578	2	
0	43	1340	1340	2	
0	63	2297	2297	3	
0	20	2132	2132	6	
1	128	10737	10737	2	
1	2	315	315	1	
1	116	16442	16442	2	
0	100	14471	14471	8	
1	135	16433	16433	6	
0	113	17716	17716	9	
1	65	8763	8763	4	
1	88	7601	7601	4	
1	71	10705	10705	10	
0	121	1729	1729	10	
1	53	5291	5291	7	
1	3	281	281	1	
1	64	10666	10666	10	
1	37	2742	2742	9	
1	74	3771	3771	4	
0	47	1338	1338	10	
1	19	3202	3202	10	
0	121	18529	18529	10	
0	16	1837	1837	9	
0	78	6217	6217	10	
0	128	12544	12544	7	
0	51	4222	4222	3	
0	30	3779	3779	6	
1	76	1762	1762	6	
1	50	503	503	4	
1	78	7414	7414	5	
1	79	6280	6280	7	
1	25	4021	4021	6	
0	92	5028	5028	7	
1	96	11752	11752	10	
0	3	103	103	7	
0	74	6261	6261	6	
0	134	23837	23837	8	
1	56	3589	3589	7	
1	100	16703	16703	1	
0	51	4038	4038	2	
1	120	4893	4893	7	
1	166	25775	25775	10	
0	113	18674	18674	1	
1	175	1639	1639	7	
0	188	2664	2664	6	
1	125	21628	21628	7	
1	197	21629	21629	7	
1	194	3914	3914	4	
1	156	12382	12382	4	
0	137	2748	2748	3	
1	180	25772	25772	10	
1	14	1018	1018	6	
1	117	9304	9304	2	
1	173	3919	3919	1	
1	132	6638	6638	7	
1	132	19810	19810	10	
0	91	6507	6507	2	
0	75	12426	12426	8	
1	39	2334	2334	8	
0	141	6438	6438	8	
0	100	7225	7225	4	
0	37	4045	4045	2	
0	163	3168	3168	1	
1	162	26191	26191	5	
1	50	936	936	4	
1	91	1534	1534	2	
1	121	19322	19322	6	
1	1	83	83	2	
0	4	24	24	10	
0	139	9286	9286	1	
1	141	18918	18918	9	
0	62	2872	2872	7	
1	141	12904	12904	8	
0	18	2291	2291	4	
1	17	2207	2207	2	
0	146	12087	12087	1	
0	167	1755	1755	6	
