120 	
4	43
1	193	8281	8281	1	
0	167	18196	18196	2	
1	95	6521	6521	4	
1	107	8781	8781	10	
1	39	4223	4223	5	
1	49	2670	2670	1	
1	107	12356	12356	2	
0	41	782	782	8	
0	52	5057	5057	2	
1	158	9457	9457	3	
0	172	12988	12988	7	
0	198	19003	19003	1	
0	107	4453	4453	4	
0	70	4992	4992	7	
0	53	1855	1855	6	
1	21	1108	1108	8	
0	8	583	583	4	
0	196	3892	3892	7	
0	84	4834	4834	2	
1	114	6827	6827	10	
0	157	12655	12655	6	
1	150	17494	17494	8	
1	141	7138	7138	4	
0	107	12185	12185	10	
0	92	9510	9510	7	
0	52	3680	3680	2	
1	174	9924	9924	5	
1	186	20933	20933	9	
0	68	1092	1092	9	
1	153	5629	5629	1	
1	133	5040	5040	1	
0	75	7878	7878	2	
0	119	12438	12438	1	
1	128	5374	5374	3	
0	192	11347	11347	5	
1	21	1259	1259	4	
0	185	974	974	3	
0	25	2559	2559	2	
1	42	2005	2005	4	
1	188	16473	16473	3	
0	67	1488	1488	7	
1	133	11727	11727	10	
0	109	4245	4245	7	
1	200	2341	2341	8	
1	86	4334	4334	9	
1	155	10086	10086	2	
0	35	2716	2716	10	
1	154	11560	11560	10	
1	33	3163	3163	3	
0	69	7466	7466	3	
1	52	967	967	6	
0	156	16561	16561	2	
0	77	7940	7940	8	
0	89	995	995	6	
0	66	1899	1899	6	
1	67	6436	6436	8	
1	65	4033	4033	1	
0	177	12338	12338	6	
0	93	7749	7749	4	
0	6	84	84	1	
1	55	4182	4182	1	
1	122	7445	7445	1	
0	43	98	98	3	
0	177	4864	4864	10	
1	136	10283	10283	5	
1	114	10501	10501	4	
0	75	602	602	3	
0	1	72	72	6	
1	83	7911	7911	4	
0	199	13771	13771	6	
0	76	3533	3533	6	
1	123	738	738	4	
1	18	1607	1607	2	
0	133	13772	13772	3	
1	71	3035	3035	2	
0	172	8297	8297	6	
1	20	2369	2369	6	
1	185	20061	20061	9	
0	35	2676	2676	9	
1	95	4021	4021	3	
0	1	45	45	1	
1	56	5601	5601	10	
0	60	874	874	8	
0	39	3874	3874	7	
1	75	2102	2102	10	
1	131	1541	1541	5	
1	117	10838	10838	4	
1	95	3498	3498	10	
1	40	3646	3646	1	
0	132	8372	8372	3	
1	25	1514	1514	5	
0	111	6559	6559	3	
1	194	16211	16211	8	
1	37	1755	1755	10	
0	195	12288	12288	4	
1	194	8104	8104	5	
0	182	16374	16374	8	
0	78	2365	2365	5	
1	190	20488	20488	3	
0	188	1660	1660	8	
1	80	4024	4024	5	
0	77	7523	7523	4	
1	59	3142	3142	1	
0	179	12414	12414	4	
0	80	9584	9584	4	
1	187	21107	21107	8	
1	130	11308	11308	2	
1	82	3415	3415	10	
1	36	4271	4271	5	
0	54	5936	5936	8	
1	118	4933	4933	2	
0	93	1214	1214	10	
0	178	1762	1762	5	
0	45	1862	1862	10	
1	138	4159	4159	7	
1	77	2038	2038	2	
0	47	2497	2497	9	
1	46	3814	3814	9	
1	193	12543	12543	9	
0	31	474	474	4	
